"partner","geo","time","values"
"IS","PT",2015-12-31,0
"IS","RO",2015-12-31,0
"IS","SE",2015-12-31,0
"IS","SI",2015-12-31,0
"IS","SK",2015-12-31,0
"IS","TOTAL",2015-12-31,15
"IS","UK",2015-12-31,2
"IT","AT",2015-12-31,1340
"IT","BE",2015-12-31,818
"IT","BG",2015-12-31,1
"IT","CH",2015-12-31,10260
"IT","DE",2015-12-31,9116
"IT","DK",2015-12-31,472
"IT","EE",2015-12-31,0
"IT","EL",2015-12-31,12
"IT","EU28",2015-12-31,17109
"IT","FI",2015-12-31,216
"IT","FR",2015-12-31,2064
"IT","HR",2015-12-31,2
"IT","IE",2015-12-31,10
"IT","IS",2015-12-31,23
"IT","IT",2015-12-31,0
"IT","LU",2015-12-31,57
"IT","LV",2015-12-31,0
"IT","MT",2015-12-31,16
"IT","NL",2015-12-31,558
"IT","NO",2015-12-31,716
"IT","PL",2015-12-31,14
"IT","PT",2015-12-31,0
"IT","RO",2015-12-31,7
"IT","SE",2015-12-31,1393
"IT","SI",2015-12-31,8
"IT","SK",2015-12-31,3
"IT","TOTAL",2015-12-31,28108
"IT","UK",2015-12-31,1002
"LI","AT",2015-12-31,1
"LI","BE",2015-12-31,0
"LI","BG",2015-12-31,0
"LI","CH",2015-12-31,1
"LI","DE",2015-12-31,1
"LI","DK",2015-12-31,0
"LI","EE",2015-12-31,0
"LI","EL",2015-12-31,0
"LI","EU28",2015-12-31,8
"LI","FI",2015-12-31,0
"LI","FR",2015-12-31,4
"LI","HR",2015-12-31,0
"LI","IE",2015-12-31,0
"LI","IS",2015-12-31,0
"LI","IT",2015-12-31,1
"LI","LU",2015-12-31,0
"LI","LV",2015-12-31,0
"LI","MT",2015-12-31,0
"LI","NL",2015-12-31,1
"LI","NO",2015-12-31,0
"LI","PL",2015-12-31,0
"LI","PT",2015-12-31,0
"LI","RO",2015-12-31,0
"LI","SE",2015-12-31,0
"LI","SI",2015-12-31,0
"LI","SK",2015-12-31,0
"LI","TOTAL",2015-12-31,9
"LI","UK",2015-12-31,0
"LT","AT",2015-12-31,31
"LT","BE",2015-12-31,54
"LT","BG",2015-12-31,0
"LT","CH",2015-12-31,42
"LT","DE",2015-12-31,288
"LT","DK",2015-12-31,20
"LT","EE",2015-12-31,1
"LT","EL",2015-12-31,1
"LT","EU28",2015-12-31,767
"LT","FI",2015-12-31,15
"LT","FR",2015-12-31,62
"LT","HR",2015-12-31,0
"LT","IE",2015-12-31,0
"LT","IS",2015-12-31,1
"LT","IT",2015-12-31,74
"LT","LU",2015-12-31,8
"LT","LV",2015-12-31,3
"LT","MT",2015-12-31,4
"LT","NL",2015-12-31,57
"LT","NO",2015-12-31,25
"LT","PL",2015-12-31,15
"LT","PT",2015-12-31,18
"LT","RO",2015-12-31,0
"LT","SE",2015-12-31,111
"LT","SI",2015-12-31,0
"LT","SK",2015-12-31,0
"LT","TOTAL",2015-12-31,835
"LT","UK",2015-12-31,5
"LU","AT",2015-12-31,9
"LU","BE",2015-12-31,5
"LU","BG",2015-12-31,0
"LU","CH",2015-12-31,10
"LU","DE",2015-12-31,49
"LU","DK",2015-12-31,5
"LU","EE",2015-12-31,0
"LU","EL",2015-12-31,0
"LU","EU28",2015-12-31,127
"LU","FI",2015-12-31,1
"LU","FR",2015-12-31,37
"LU","HR",2015-12-31,0
"LU","IE",2015-12-31,0
"LU","IS",2015-12-31,0
"LU","IT",2015-12-31,0
"LU","LU",2015-12-31,0
"LU","LV",2015-12-31,0
"LU","MT",2015-12-31,0
"LU","NL",2015-12-31,10
"LU","NO",2015-12-31,1
"LU","PL",2015-12-31,1
"LU","PT",2015-12-31,0
"LU","RO",2015-12-31,0
"LU","SE",2015-12-31,8
"LU","SI",2015-12-31,0
"LU","SK",2015-12-31,1
"LU","TOTAL",2015-12-31,138
"LU","UK",2015-12-31,1
"LV","AT",2015-12-31,3
"LV","BE",2015-12-31,11
"LV","BG",2015-12-31,0
"LV","CH",2015-12-31,15
"LV","DE",2015-12-31,66
"LV","DK",2015-12-31,3
"LV","EE",2015-12-31,10
"LV","EL",2015-12-31,1
"LV","EU28",2015-12-31,186
"LV","FI",2015-12-31,9
"LV","FR",2015-12-31,17
"LV","HR",2015-12-31,0
"LV","IE",2015-12-31,0
"LV","IS",2015-12-31,0
"LV","IT",2015-12-31,2
"LV","LU",2015-12-31,4
"LV","LV",2015-12-31,0
"LV","MT",2015-12-31,0
"LV","NL",2015-12-31,11
"LV","NO",2015-12-31,2
"LV","PL",2015-12-31,2
"LV","PT",2015-12-31,1
"LV","RO",2015-12-31,0
"LV","SE",2015-12-31,42
"LV","SI",2015-12-31,0
"LV","SK",2015-12-31,2
"LV","TOTAL",2015-12-31,203
"LV","UK",2015-12-31,2
"MT","AT",2015-12-31,7
"MT","BE",2015-12-31,26
"MT","BG",2015-12-31,0
"MT","CH",2015-12-31,22
"MT","DE",2015-12-31,143
"MT","DK",2015-12-31,11
"MT","EE",2015-12-31,0
"MT","EL",2015-12-31,3
"MT","EU28",2015-12-31,441
"MT","FI",2015-12-31,5
"MT","FR",2015-12-31,79
"MT","HR",2015-12-31,0
"MT","IE",2015-12-31,0
"MT","IS",2015-12-31,0
"MT","IT",2015-12-31,49
"MT","LU",2015-12-31,0
"MT","LV",2015-12-31,1
"MT","MT",2015-12-31,1
"MT","NL",2015-12-31,15
"MT","NO",2015-12-31,11
"MT","PL",2015-12-31,0
"MT","PT",2015-12-31,0
"MT","RO",2015-12-31,0
"MT","SE",2015-12-31,93
"MT","SI",2015-12-31,0
"MT","SK",2015-12-31,0
"MT","TOTAL",2015-12-31,474
"MT","UK",2015-12-31,8
"NL","AT",2015-12-31,59
"NL","BE",2015-12-31,147
"NL","BG",2015-12-31,1
"NL","CH",2015-12-31,112
"NL","DE",2015-12-31,712
"NL","DK",2015-12-31,50
"NL","EE",2015-12-31,0
"NL","EL",2015-12-31,37
"NL","EU28",2015-12-31,1458
"NL","FI",2015-12-31,18
