"partner","geo","time","values","decision"
"HU","NL",2015-12-31,128,"ACC"
"HU","NO",2015-12-31,338,"ACC"
"HU","PL",2015-12-31,15,"ACC"
"HU","PT",2015-12-31,11,"ACC"
"HU","RO",2015-12-31,2,"ACC"
"HU","SE",2015-12-31,1076,"ACC"
"HU","SI",2015-12-31,19,"ACC"
"HU","SK",2015-12-31,474,"ACC"
"HU","TOTAL",2015-12-31,25804,"ACC"
"HU","UK",2015-12-31,543,"ACC"
"IE","AT",2015-12-31,1,"ACC"
"IE","BE",2015-12-31,0,"ACC"
"IE","BG",2015-12-31,0,"ACC"
"IE","CH",2015-12-31,0,"ACC"
"IE","DE",2015-12-31,3,"ACC"
"IE","DK",2015-12-31,1,"ACC"
"IE","EE",2015-12-31,0,"ACC"
"IE","EL",2015-12-31,0,"ACC"
"IE","EU28",2015-12-31,79,"ACC"
"IE","FI",2015-12-31,1,"ACC"
"IE","FR",2015-12-31,0,"ACC"
"IE","HR",2015-12-31,0,"ACC"
"IE","IE",2015-12-31,0,"ACC"
"IE","IS",2015-12-31,0,"ACC"
"IE","IT",2015-12-31,0,"ACC"
"IE","LI",2015-12-31,0,"ACC"
"IE","LU",2015-12-31,0,"ACC"
"IE","LV",2015-12-31,0,"ACC"
"IE","MT",2015-12-31,0,"ACC"
"IE","NL",2015-12-31,3,"ACC"
"IE","NO",2015-12-31,0,"ACC"
"IE","PL",2015-12-31,0,"ACC"
"IE","PT",2015-12-31,0,"ACC"
"IE","RO",2015-12-31,0,"ACC"
"IE","SE",2015-12-31,1,"ACC"
"IE","SI",2015-12-31,0,"ACC"
"IE","SK",2015-12-31,0,"ACC"
"IE","TOTAL",2015-12-31,79,"ACC"
"IE","UK",2015-12-31,69,"ACC"
"IS","AT",2015-12-31,0,"ACC"
"IS","BE",2015-12-31,0,"ACC"
"IS","BG",2015-12-31,0,"ACC"
"IS","CH",2015-12-31,4,"ACC"
"IS","DE",2015-12-31,0,"ACC"
"IS","DK",2015-12-31,3,"ACC"
"IS","EE",2015-12-31,0,"ACC"
"IS","EL",2015-12-31,0,"ACC"
"IS","EU28",2015-12-31,4,"ACC"
"IS","FI",2015-12-31,0,"ACC"
"IS","FR",2015-12-31,0,"ACC"
"IS","HR",2015-12-31,0,"ACC"
"IS","IE",2015-12-31,0,"ACC"
"IS","IS",2015-12-31,0,"ACC"
"IS","IT",2015-12-31,0,"ACC"
"IS","LI",2015-12-31,0,"ACC"
"IS","LU",2015-12-31,0,"ACC"
"IS","LV",2015-12-31,0,"ACC"
"IS","MT",2015-12-31,0,"ACC"
"IS","NL",2015-12-31,1,"ACC"
"IS","NO",2015-12-31,0,"ACC"
"IS","PL",2015-12-31,0,"ACC"
"IS","PT",2015-12-31,0,"ACC"
"IS","RO",2015-12-31,0,"ACC"
"IS","SE",2015-12-31,0,"ACC"
"IS","SI",2015-12-31,0,"ACC"
"IS","SK",2015-12-31,0,"ACC"
"IS","TOTAL",2015-12-31,8,"ACC"
"IS","UK",2015-12-31,0,"ACC"
"IT","AT",2015-12-31,1058,"ACC"
"IT","BE",2015-12-31,638,"ACC"
"IT","BG",2015-12-31,0,"ACC"
"IT","CH",2015-12-31,4833,"ACC"
"IT","DE",2015-12-31,6072,"ACC"
"IT","DK",2015-12-31,472,"ACC"
"IT","EE",2015-12-31,0,"ACC"
"IT","EL",2015-12-31,1,"ACC"
"IT","EU28",2015-12-31,11565,"ACC"
"IT","FI",2015-12-31,160,"ACC"
"IT","FR",2015-12-31,1573,"ACC"
"IT","HR",2015-12-31,0,"ACC"
"IT","IE",2015-12-31,5,"ACC"
"IT","IS",2015-12-31,12,"ACC"
"IT","IT",2015-12-31,0,"ACC"
"IT","LI",2015-12-31,8,"ACC"
"IT","LU",2015-12-31,43,"ACC"
"IT","LV",2015-12-31,0,"ACC"
"IT","MT",2015-12-31,13,"ACC"
"IT","NL",2015-12-31,84,"ACC"
"IT","NO",2015-12-31,267,"ACC"
"IT","PL",2015-12-31,11,"ACC"
"IT","PT",2015-12-31,0,"ACC"
"IT","RO",2015-12-31,6,"ACC"
"IT","SE",2015-12-31,906,"ACC"
"IT","SI",2015-12-31,5,"ACC"
"IT","SK",2015-12-31,2,"ACC"
"IT","TOTAL",2015-12-31,16685,"ACC"
"IT","UK",2015-12-31,516,"ACC"
"LI","AT",2015-12-31,1,"ACC"
"LI","BE",2015-12-31,1,"ACC"
"LI","BG",2015-12-31,0,"ACC"
"LI","CH",2015-12-31,0,"ACC"
"LI","DE",2015-12-31,0,"ACC"
"LI","DK",2015-12-31,0,"ACC"
"LI","EE",2015-12-31,0,"ACC"
"LI","EL",2015-12-31,0,"ACC"
"LI","EU28",2015-12-31,3,"ACC"
"LI","FI",2015-12-31,0,"ACC"
"LI","FR",2015-12-31,0,"ACC"
"LI","HR",2015-12-31,0,"ACC"
"LI","IE",2015-12-31,0,"ACC"
"LI","IS",2015-12-31,0,"ACC"
"LI","IT",2015-12-31,0,"ACC"
"LI","LI",2015-12-31,0,"ACC"
"LI","LU",2015-12-31,0,"ACC"
"LI","LV",2015-12-31,0,"ACC"
"LI","MT",2015-12-31,0,"ACC"
"LI","NL",2015-12-31,1,"ACC"
"LI","NO",2015-12-31,0,"ACC"
"LI","PL",2015-12-31,0,"ACC"
"LI","PT",2015-12-31,0,"ACC"
"LI","RO",2015-12-31,0,"ACC"
